area_name,0
Перегребное,1.5791022866664395e-05
Старобельск,1.5791022866664395e-05
Белозерское,1.5791022866664395e-05
Старая Майна,1.5791022866664395e-05
Старая Выжевка,1.5791022866664395e-05
Старая Вичуга,1.5791022866664395e-05
Станция Озерки (Тальменский район),1.5791022866664395e-05
Старобешево,1.5791022866664395e-05
Станционно-Ояшинский,1.5791022866664395e-05
Белосток,1.5791022866664395e-05
Гнедин,1.5791022866664395e-05
Мирный (Ростовская область),1.5791022866664395e-05
Михайловка,1.5791022866664395e-05
Средний Баскунчак,1.5791022866664395e-05
Михайловка (Запорожская область),1.5791022866664395e-05
Ставище,1.5791022866664395e-05
Стародубское (Ставропольский край),1.5791022866664395e-05
Голованевск,1.5791022866664395e-05
Белоглинка,1.5791022866664395e-05
Сурхахи,1.5791022866664395e-05
Горные Ключи,1.5791022866664395e-05
Сукко,1.5791022866664395e-05
Судай,1.5791022866664395e-05
Марьинка,1.5791022866664395e-05
Массандра,1.5791022866664395e-05
Сторожевая (Карачаево-Черкесия),1.5791022866664395e-05
Межевая,1.5791022866664395e-05
Горки (Ленинский район),1.5791022866664395e-05
Стеклянный,1.5791022866664395e-05
Белиджи,1.5791022866664395e-05
Мена,1.5791022866664395e-05
Менделеево,1.5791022866664395e-05
Менделеево (Пермский край),1.5791022866664395e-05
Белицкое,1.5791022866664395e-05
Среднецарицынский,1.5791022866664395e-05
Михайловское (Северная Осетия),1.5791022866664395e-05
Мичуринское,1.5791022866664395e-05
Глиняны,1.5791022866664395e-05
Сокуры,1.5791022866664395e-05
Соколовый,1.5791022866664395e-05
Геджух,1.5791022866664395e-05
Гарболово,1.5791022866664395e-05
Мыс Каменный,1.5791022866664395e-05
Сокаль,1.5791022866664395e-05
Галаасия,1.5791022866664395e-05
Мяунджа,1.5791022866664395e-05
Нагорный (Камчатский край),1.5791022866664395e-05
Надворная,1.5791022866664395e-05
Газах,1.5791022866664395e-05
Найстенъярви,1.5791022866664395e-05
Гадяч,1.5791022866664395e-05
Смоляниново,1.5791022866664395e-05
Смолино,1.5791022866664395e-05
Березовка (Одесская область),1.5791022866664395e-05
